"","Species","AVG_MXL","HdBd","PFiBd","PFlBl","CFdCPd"
"93","Lepomis microlophus",3.78872478908365,0.495481806,0.308141247,0.300112226,1.13979150225804
"94","Leucaspius delineatus",2.30258509299405,0.680182624,0.12047509,0.15772719,1.40843391083163
"95","Leuciscus aspius",4.54683107539998,0.410322921,0.326789209,0.196017149,1.10357544215374
"96","Leuciscus idus",4.29045944114839,0.482934643,0.219592394,0.180488862,1.25714171463571
"97","Leuciscus leuciscus",3.71357206670431,0.551620454,0.226099646,0.163173148,1.33736415323229
"98","Lota lota",4.9416424226093,0.649656554,0.658757871,0.123253268,1.0146612034778
"99","Lucania parva",1.79175946922805,0.586783449,0.375394814,0.177438578,0.963693338783486
"100","Luciobarbus graellsii",4.29728540621879,0.429847235,0.270724575,0.16815047,1.09913670147301
"101","Luxilus chrysocephalus",2.94443897916644,0.516678066,0.14524851,0.15942439,1.40820828453164
"102","Luxilus cornutus",2.94443897916644,0.535479422,0.203752951,0.196708096,1.37719489678212
"103","Macquaria ambigua",4.26267987704132,0.33885412,0.343114,0.189194634,1.27065516984854
"104","Macquaria novemaculeata",4.11087386417331,0.514951559,0.334814318,0.19620734,1.20757910490007
"105","Macrhybopsis aestivalis",2.15176220325946,0.564677053,0.298370739,0.154823819,1.37073741516483
"106","Macrhybopsis storeriana",3.17805383034795,0.652439146,0.254063583,0.161946524,1.34910379025252
"107","Menidia beryllina",2.77258872223978,0.618933888,0.740748088,0.163359017,1.35961932174439
"108","Micropterus dolomieu",4.24849524204936,0.610300565,0.389737954,0.171659093,1.34242548320697
"109","Micropterus punctulatus",4.16666522380173,0.515434809,0.386563502,0.164817295,1.29353430573256
"110","Micropterus salmoides",4.45725005591147,0.471328002,0.326692452,0.172997466,1.21414222028712
"111","Minytrema melanops",3.93182563272433,0.597215548,0.155477032,0.204057579,1.56444067307239
"112","Misgurnus anguillicaudatus",3.25037449192757,0.520600877,0.169592105,0.110659668,0.851617041708329
"113","Mogurnda adspersa",2.70805020110221,0.611504142,0.466007988,0.151081879,0.976686663448852
"114","Morone americana",3.92197333628131,0.449977501,0.360438316,0.211337246,1.2993184471378
"115","Morone chrysops",3.8286413964891,0.447893882,0.332440849,0.167800492,1.14015090283516
"116","Morone mississippiensis",3.85014760171006,0.466417682,0.381603867,0.206227864,1.35896016929169
"117","Morone saxatilis",5.30330490805908,0.491275844,0.386636114,0.154030837,1.35252857591718
"118","Moxostoma anisurum",4.31748811353631,0.618485284,0.120532435,0.171483571,1.19929106747888
"119","Moxostoma breviceps",3.69137633431252,0.542601393,0.213322091,0.139992298,1.2970080463295
"120","Moxostoma carinatum",4.35670882668959,0.531990207,0.165725205,0.146698964,1.30753242103828
"121","Moxostoma duquesnii",3.95124371858143,0.541877834,0.209730928,0.18569505,1.36140910341839
"122","Moxostoma erythrurum",4.36944785246702,0.591858604,0.139738521,0.176040424,1.29030711655894
"123","Moxostoma macrolepidotum",4.33073334028633,0.512366733,0.176674803,0.163250001,1.07883605978349
"124","Mugil cephalus",5.28826703069454,0.466249087,0.72698662,0.178626792,1.1895974694362
"125","Nannoperca oxleyana",2.31253542384721,0.501240513,0.300961856,0.177670782,1.16881729087216
"126","Nematalosa erebi",3.87120101090789,0.37416134,0.322803852,0.183661412,1.09317994450204
"127","Neogobius melanostomus",3.24259235148552,0.629741085,0.71641461,0.248505977,1.06774830270807
"128","Nocomis biguttatus",3.29583686600433,0.591075689,0.254879636,0.168820869,1.21986803503416
"129","Nocomis micropogon",3.49650756146648,0.698953659,0.228603459,0.158098565,1.19231305041735
"130","Notemigonus crysoleucas",3.43398720448515,0.395879336,0.261053831,0.165396508,1.37751076251487
"131","Notropis atherinoides",2.63905732961526,0.550661288,0.295185798,0.149678781,1.31536600466474
"132","Notropis blennius",2.63905732961526,0.529422794,0.213235294,0.212495219,1.26736808521334
"133","Notropis dorsalis",2.19722457733622,0.563399061,0.330985915,0.14427774,1.16493653008275
"134","Notropis girardi",2.19722457733622,0.473618245,0.239775974,0.225314147,1.25122638684393
"135","Notropis hudsonius",2.77258872223978,0.527457146,0.278188792,0.178362481,1.39013745944837
"136","Notropis photogenis",2.70805020110221,0.60305388,0.2412222,0.153500643,1.4362547084531
"137","Notropis shumardi",2.39789527279837,0.598237004,0.223788797,0.155853675,1.33794037247458
"138","Notropis simus",2.39789527279837,0.561411359,0.228389889,0.194915237,1.21119055647041
"139","Notropis stramineus",2.2082744135228,0.511484251,0.263745898,0.162641024,1.28744737683974
"140","Notropis texanus",2.26176309847379,0.508208949,0.282784567,0.186456357,1.25861781822085
"141","Notropis volucellus",2.15176220325946,0.569783571,0.310058387,0.168098617,1.3771120870281
"142","Noturus flavus",3.46573590279973,0.668075602,0.412320181,0.167163925,1.02877278567554
"143","Noturus gyrinus",2.63905732961526,0.5461886,0.406554792,0.169448411,0.903522380712894
"144","Noturus nocturnus",2.77258872223978,0.691131689,0.462268367,0.14921107,0.957657925458388
"145","Oncorhynchus mykiss",4.59005654817804,0.456782981,0.289280095,0.163623674,1.25841110114969
"146","Opsopoeodus emiliae",2.00148000021012,0.508726434,0.239110162,0.148191858,1.48316101308364
"147","Oreochromis mossambicus",3.68887945411394,0.571703629,0.280433988,0.349541403,1.20416545826697
"148","Oxyeleotris lineolata",3.8286413964891,0.594465045,0.617204357,0.206586059,1.17502203157099
"149","Parachondrostoma miegii",3.34462703017376,0.61562476,0.228527489,0.154280719,1.09761207195144
"150","Parachondrostoma toxostoma",3.43398720448515,0.438372109,0.236337246,0.156697815,1.28780688111397
"151","Perca flavescens",3.93182563272433,0.47006921,0.329288079,0.179624041,1.28282001635616
"152","Perca fluviatilis",4.06044301054642,0.541426241,0.313523663,0.178178311,1.43368577177529
"153","Percina caprodes",2.94443897916644,0.576084356,0.461919436,0.145956066,1.35859510255232
"154","Percina copelandi",2.10413415427021,0.681753429,0.49459685,0.246038638,1.22121461081172
"155","Percina macrolepida",2.484906649788,0.55999175,0.390122623,0.176974243,1.24780522746743
"156","Percina maculata",2.484906649788,0.578514706,0.392279412,0.177563832,1.36115755034436
"157","Percina phoxocephala",2.36085400111802,0.576101252,0.398360508,0.202945723,1.28961748330917
"158","Percina sciera",2.63905732961526,0.603417895,0.451352574,0.177652092,1.40541053055385
"159","Percina shumardi",2.17475172148416,0.59230454,0.417899003,0.211034959,NA
"160","Percopsis omiscomaycus",3.04452243772342,0.780258809,0.227225366,0.203748974,1.48531577168923
"161","Phenacobius mirabilis",2.56494935746154,0.603279306,0.226709386,0.174021911,1.23867023012977
"162","Phoxinus phoxinus",2.70805020110221,0.512813953,0.294453488,0.145108122,1.35177915335099
"163","Pimephales notatus",2.484906649788,0.534582949,0.216785714,0.126774216,1.32176915669365
"164","Pimephales promelas",2.39789527279837,0.636666015,0.213797501,0.161043194,1.24771715203352
"165","Pimephales vigilax",2.29253475714054,0.586568293,0.282704716,0.183721189,1.28119166250217
"166","Platichthys flesus",4.02535169073515,0.30865788,0.464029012,0.137147459,1.21110694114736
"167","Poecilia reticulata",1.94591014905531,0.548578675,0.45266202,0.149295456,0.99065085057912
"168","Polyodon spathula",5.40267738187228,0.37708989,0.221438172,0.109281629,1.68264032562161
"169","Pomoxis annularis",3.98898404656427,0.483815476,0.294835359,0.218336949,1.27759870979704
"170","Pomoxis nigromaculatus",3.91202300542815,0.439424956,0.335282932,0.207328124,1.2525224698636
"171","Porochilus rendahli",3.2188758248682,0.42338512,0.258786153,0.103934901,0
"172","Pseudomugil signifer",2.19722457733622,0.513917057,0.615048593,0.200663782,1.3276447439004
"173","Pseudorasbora parva",2.58776403522771,0.568960612,0.275859691,0.145461399,1.20743096558769
"174","Pungitius pungitius",2.30258509299405,0.565065845,0.474768323,0.155576596,2.0728673473175
"175","Pylodictis olivaris",5.04985600724954,0.540694424,0.318137226,0.15538586,1.11709483752768
"176","Redigobius bikolanus",1.64865862558738,0.65384971,0.56677623,0.228959464,0.980934604962015
"177","Retropinna semoni",2.39789527279837,0.680683591,0.193050631,0.148141527,1.38589228804935
"178","Rhadinocentrus ornatus",2.19722457733622,0.588266707,0.516611993,0.204323242,1.22014230273594
"179","Rhodeus amarus",2.37490575457367,0.3342143,0.250959949,0.135593304,1.19974045626303
"180","Rhodeus sericeus",2.4423470353692,0.397224299,0.27571028,0.182189833,1.16314803198932
"181","Rutilus rutilus",3.94481927984323,0.396746834,0.272767541,0.161648046,1.5721065915426
"182","Salaria fluviatilis",2.77258872223978,0.702970297,0.582831683,0.189361263,1.22348995617199
"183","Salmo salar",5.01727983681492,0.421093263,0.244620095,0.124212585,1.40522483565237
"184","Salmo trutta",4.79579054559674,0.405012258,0.262271861,0.126765961,1.31236838040472
"185","Salvelinus fontinalis",4.40366580977736,0.438863261,0.277230417,0.153272033,1.18802780082413
"186","Sander canadensis",4.34380542185368,0.53014187,0.252316637,0.14582914,1.33012555545621
"187","Sander lucioperca",4.85592890433527,0.380940055,0.34755846,0.146019498,1.47893251606142
"188","Sander vitreus",4.68213122712422,0.485716632,0.417830685,0.140581441,1.36118126987201
"189","Sarmarutilus rubilio",3.32862668882732,0.417634465,0.263480904,0.187417632,1.17618631257092
"190","Scaphirhynchus platorynchus",4.61512051684126,0.776732795,0.391264654,0.139736973,1.76838585810183
"191","Semotilus atromaculatus",3.43398720448515,0.565369809,0.266353769,0.160649081,1.16491598035009
"192","Silurus glanis",6.03468446431224,0.511623001,0.423543433,0.106003825,1.163172055205
"193","Squalius cephalus",4.1640727188762,0.356574909,0.344020273,0.172295685,1.28101717532337
"194","Tandanus tandanus",4.51085950651685,0.606994431,0.316900091,0.174381494,1.38249838275169
"195","Telestes souffia",3.17805383034795,0.618556701,0.216412371,0.158638889,1.37790861280888
"196","Thymallus thymallus",4.05468508615978,0.429672819,0.314898013,0.161065146,1.53314958614259
"197","Tinca tinca",4.32413265625498,0.464568644,0.231055269,0.185072694,0.922232116839318
"198","Umbra limi",2.70805020110221,0.547628637,0.240270064,0.163310351,1.0282368658259
